Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
0.37,1.46,4.77,0.67
0.02,1.49,8.69,0.67
1.89,1.46,0.56,0.69
1.57,1.55,3.93,0.47
1.22,1.45,0.56,0.69
0.02,1.42,13.18,0.61
2.25,1.64,2.21,0.69
1.0,1.54,3.06,0.4
0.02,1.49,3.75,0.69
0.73,1.48,10.06,0.69
0.78,1.42,6.5,0.52
0.75,1.51,2.5,0.53
0.02,1.51,13.18,0.56
0.02,1.49,12.17,0.39
0.02,1.47,12.46,0.69
0.4,1.56,2.2,0.69
0.87,1.48,0.92,0.51
0.02,1.52,0.66,0.57
1.28,1.5,1.04,0.34
0.02,1.55,4.61,0.38
0.85,1.54,6.94,0.52
0.02,1.49,0.56,0.39
4.65,1.42,1.24,0.69
0.02,1.42,1.13,0.67
0.02,1.62,7.08,0.69
0.02,1.45,4.73,0.63
0.02,1.52,0.56,0.4
0.02,1.49,0.56,0.69
0.02,1.43,11.97,0.69
0.02,1.51,0.56,0.69
0.02,1.47,2.42,0.43
0.02,1.48,1.14,0.39
10.0,1.48,3.01,0.69
0.02,1.51,0.56,0.69
0.02,1.47,0.56,0.5
0.43,1.46,1.71,0.69
6.31,1.44,0.56,0.62
5.64,1.42,0.56,0.65
0.02,1.49,0.56,0.65
0.02,1.54,1.09,0.6
0.02,1.51,0.56,0.48
0.02,1.5,7.36,0.36
0.02,1.51,0.56,0.56
5.47,1.42,13.18,0.69
1.07,1.5,4.4,0.69
0.02,1.55,1.59,0.67
0.33,1.64,0.91,0.69
0.02,1.42,0.56,0.69
0.02,1.54,0.56,0.69
0.94,1.42,8.99,0.69
0.02,1.48,2.23,0.65
0.02,1.51,6.27,0.65
5.26,1.46,2.83,0.69
0.02,1.52,0.99,0.69
0.02,1.53,0.56,0.62
1.06,1.43,2.88,0.52
0.02,1.64,1.0,0.68
0.12,1.51,2.03,0.55
0.02,1.54,0.56,0.69
1.79,1.42,3.99,0.37
0.56,1.48,8.8,0.63
0.02,1.47,2.56,0.69
0.02,1.44,2.79,0.6
0.02,1.54,4.4,0.69
0.02,1.48,0.86,0.69
0.02,1.51,0.56,0.48
2.36,1.49,5.57,0.63
0.91,1.5,1.77,0.69
0.02,1.56,0.56,0.41
0.11,1.5,1.51,0.69
0.02,1.52,13.18,0.66
0.02,1.49,1.64,0.63
0.02,1.48,4.48,0.69
0.45,1.48,3.97,0.69
0.02,1.53,0.56,0.4
0.02,1.55,0.96,0.69
0.09,1.64,2.6,0.49
0.02,1.64,12.21,0.34
0.02,1.6,2.23,0.69
0.02,1.49,3.35,0.67
0.02,1.64,2.6,0.69
0.02,1.54,0.56,0.58
0.59,1.51,0.56,0.34
1.3,1.5,4.16,0.59
0.02,1.49,1.16,0.46
0.02,1.55,1.65,0.61
0.51,1.54,5.99,0.69
0.02,1.55,13.18,0.54
0.02,1.52,9.11,0.61
0.02,1.52,2.96,0.44
0.02,1.64,5.88,0.51
0.58,1.54,1.2,0.69
0.02,1.54,1.31,0.35
0.02,1.42,0.56,0.69
0.02,1.42,0.96,0.42
0.53,1.53,2.6,0.34
0.14,1.54,1.99,0.57
0.36,1.64,2.32,0.69
0.87,1.51,1.34,0.68
0.12,1.54,2.57,0.69
0.58,1.5,1.6,0.69
2.35,1.51,0.82,0.48
0.03,1.52,1.25,0.34
0.31,1.48,12.78,0.69
1.88,1.43,2.7,0.67
0.4,1.51,0.56,0.53
0.02,1.48,5.47,0.61
0.72,1.55,0.56,0.6
1.27,1.42,2.2,0.69
0.59,1.48,1.68,0.65
1.38,1.54,10.69,0.69
0.21,1.55,0.56,0.36
0.02,1.42,0.56,0.54
0.02,1.54,2.67,0.36
0.02,1.47,0.83,0.65
0.02,1.48,0.56,0.56
9.87,1.55,2.14,0.67
4.05,1.42,0.96,0.4
0.02,1.63,0.84,0.38
0.02,1.56,1.71,0.66
1.19,1.64,2.19,0.69
0.02,1.48,3.79,0.54
3.03,1.52,1.64,0.42
0.87,1.47,0.78,0.62
0.02,1.5,1.18,0.56
0.02,1.52,13.18,0.44
1.19,1.44,0.92,0.69
0.02,1.56,0.56,0.44
0.02,1.56,2.06,0.41
2.89,1.48,0.56,0.34
0.02,1.48,3.41,0.4
